name,artists,year,country,label,have,total.want,total.averageValue,format,price,info3,info2,info4,info5,info6,info
"
                
                                            
        
            David Bowie
                
                ‎–
                
                                            ★ (Blackstar)
                                    
            ",David Bowie,2016,UK & Europe,"ISO Records, Columbia, Sony Music",20564,5754,4.65,"(CD, Album)",$5.00,Electronic,2016,ISO Records,NA,NA,Experimental
"
                
                                            
        
            Radiohead
                
                ‎–
                
                                            A Moon Shaped Pool
                                    
            ",Radiohead,2016,UK & Europe,XL Recordings,15478,2339,4.58,"(CD, Album)",$2.50,Electronic,2016,Optimal Media GmbH,NA,NA,Art Rock
"
                
                                            
        
            A Tribe Called Quest
                
                ‎–
                
                                            We Got It From Here... Thank You 4 Your Service
                                    
            ",A Tribe Called Quest,2016,US,Epic,2883,1893,4.67,"(16xFile, AAC, Album, 256)",$8.00,Hip Hop,2016,NA,NA,NA,Conscious
"
                
                                            
        
            The 1975
                
                ‎–
                
                                            I Like It When You Sleep, For You Are So Beautiful Yet So Unaware Of It
                                    
            ",The 1975,2016,Europe,"Polydor, Dirty Hit",1888,1559,4.47,"(CD, Album)",$5.32,Electronic,2016,NA,NA,NA,Indie Rock
"
                
                                            
        
            Mall Grab
                
                ‎–
                
                                            Sun Ra EP
                                    
            ",Mall Grab,2016,UK,Church,1508,1459,4.64,"(12"", EP, Gre)",$22.00,Church,"
                UK
            ","
                06 Apr 2016
            ",Electronic,House,Vinyl
"
                
                                            
        
            Kanye West
                
                ‎–
                
                                            The Life Of Pablo
                                    
            ",Kanye West,2016,US,"G.O.O.D. MUSIC, Def Jam Recordings",989,1501,3.79,"(18xFile, FLAC, Album)",$35.01,Hip Hop,2016,NA,NA,NA,NA
"
                
                                            
        
            Frank Ocean
                
                ‎–
                
                                            Blonde
                                    
            ",Frank Ocean,2016,,Boys Don't Cry,1215,1519,4.71,"(17xFile, AAC, Album, 256)",$30.33,Hip Hop,2016,NA,NA,NA,Contemporary R&B
"
                
                                            
        
            Mall Grab
                
                ‎–
                
                                            Sun Ra EP
                                    
            ",Mall Grab,2016,UK,Church,1646,1792,4.63,"(12"", EP, Gre)",$21.23,Electronic,2016,NA,NA,NA,House
"
                
                                            
        
            Kendrick Lamar
                
                ‎–
                
                                            Untitled Unmastered.
                                    
            ",Kendrick Lamar,2016,US,"Top Dawg Entertainment, Aftermath Entertainment, Interscope Records",3771,1441,4.39,"(CD, Album)",$8.02,Hip Hop,2016,NA,NA,NA,NA
"
                
                                            
        
            Convextion
                
                ‎–
                
                                            2845
                                    
            ",Convextion,2016,Germany,a.r.t.less,1092,1681,4.79,"(2x12"", Album)",$23.40,Electronic,2016,NA,NA,NA,Techno
"
                
                                            
        
            Kyle Dixon (2),                     
        
            Michael Stein (9)
                
                ‎–
                
                                            Stranger Things - Volume One (A Netflix Original Series)
                                    
            ",Kyle Dixon (2),2016,US,Lakeshore Records,3768,1407,4.59,"(CD, Album)",$9.00,Stage & Screen,2016,VHS Black,NA,NA,Soundtrack
"
                
                                            
        
            Anderson .Paak
                
                ‎–
                
                                            Malibu
                                    
            ",Anderson .Paak,2016,US,OBE,2207,1493,4.66,"(CD, Album, Dig)",$10.00,Hip Hop,2016,NA,NA,NA,NA
"
                
                                            
        
            Metallica
                
                ‎–
                
                                            Hardwired...To Self-Destruct 
                                    
            ",Metallica,2016,US,Blackened Recordings,7051,1141,4.49,"(2xLP, Album, 180)",$4.50,Rock,2016,NA,NA,NA,Heavy Metal
"
                
                                            
        
            DJ Metatron
                
                ‎–
                
                                            2 The Sky 
                                    
            ",DJ Metatron,2016,Germany,Giegling,1635,1406,4.6,"(12"", Ltd)",$14.99,Electronic,2016,NA,NA,NA,House
"
                
                                            
        
            Varhat
                
                ‎–
                
                                            VRHT777
                                    
            ",Varhat,NA,NA,NA,418,1084,4.56,NA,$24.48,AKU,"
                France
            ","
                13 Jan 2016
            ",Electronic,Minimal Techno,Vinyl
"
                
                                            
        
            BadBadNotGood
                
                ‎–
                
                                            IV
                                    
            ",BadBadNotGood,2016,US,Innovative Leisure Records,3686,1089,4.33,"(2xLP, Album)",$5.95,Jazz,2016,NA,NA,NA,NA
"
                
                                            
        
            Omar S*
                
                ‎–
                
                                            The Best!
                                    
            ",Omar S,2016,US,FXHE Records,529,1172,4.56,"(CD, Album)",$20.22,Electronic,2016,NA,NA,NA,House
"
                
                                            
        
            Globex
                
                ‎–
                
                                            Inversia 1
                                    
            ",Globex,NA,NA,NA,814,1021,4.81,NA,$17.29,Acting Press,"
                Germany
            ","
                23 Mar 2016
            ",Electronic,House,Vinyl
"
                
                                            
        
            The Avalanches
                
                ‎–
                
                                            Wildflower
                                    
            ",The Avalanches,2016,US,"Modular Recordings, Astralwerks",3563,1040,4.42,"(CD, Album)",$7.45,Electronic,2016,NA,NA,NA,Abstract
"
                
                                            
        
            Various
                
                ‎–
                
                                            Waxtefacts 002
                                    
            ",Various,NA,NA,NA,199,993,4.85,NA,NA,Waxtefacts,"
                Denmark
            ","
                01 Jul 2016
            ",Electronic,Deep House,Vinyl
"
                
                                            
        
            Unknown Artist
                
                ‎–
                
                                            HOSTOM - 003
                                    
            ",Unknown Artist,NA,NA,NA,971,987,4.6,NA,$14.90,Hostom,"
                France
            ","
                Mar 2016
            ",Electronic,Minimal,Vinyl
"
                
                                            
        
            E.R.P.
                
                ‎–
                
                                            Ancient Light (Hubble Telescope Series Vol. II)
                                    
            ",E.R.P.,2016,Germany,Solar One Music,620,1017,4.74,"(12"", Ltd, Mul)",$12.77,Electronic,2016,NA,NA,NA,Electro
"
                
                                            
        
            Car Seat Headrest
                
                ‎–
                
                                            Teens Of Denial
                                    
            ",Car Seat Headrest,2016,US,Matador,1897,1077,4.53,"(2xLP, Album)",$8.99,Rock,2016,NA,NA,NA,Alternative Rock
"
                
                                            
        
            King Gizzard And The Lizard Wizard
                
                ‎–
                
                                            Nonagon Infinity
                                    
            ",King Gizzard And The Lizard Wizard,2016,Australia & New Zealand,Flightless,2828,1046,4.6,"(LP, Album, Dlx, Ltd, Gam)",$4.91,Rock,2016,NA,NA,NA,Garage Rock
"
                
                                            
        
            DJ Metatron
                
                ‎–
                
                                            2 The Sky 
                                    
            ",DJ Metatron,2016,Germany,Giegling,970,940,4.52,"(12"", RE)",$47.89,Giegling,"
                Germany
            ","
                20 May 2016
            ",Electronic,House,Vinyl
"
                
                                            
        
            Mr. Fingers
                
                ‎–
                
                                            Outer Acid EP
                                    
            ",Mr. Fingers,2016,Netherlands,Alleviated Records,1279,972,4.78,"(12"", EP)",$10.63,Electronic,2016,NA,NA,NA,House
"
                
                                            
        
            Massive Attack
                
                ‎–
                
                                            Ritual Spirit
                                    
            ",Massive Attack,2016,UK & Europe,"Virgin EMI Records, Virgin EMI Records",1351,1033,4.52,"(12"", EP, Gre)",$18.41,Electronic,2016,NA,NA,NA,Trip Hop
"
                
                                            
        
            Bon Iver
                
                ‎–
                
                                            22, A Million
                                    
            ",Bon Iver,2016,US,Jagjaguwar,4404,967,4.44,"(LP, Album)",$5.99,Electronic,2016,NA,NA,NA,Indie Rock
"
                
                                            
        
            Mr. Fingers
                
                ‎–
                
                                            Outer Acid EP
                                    
            ",Mr. Fingers,2016,,"Alleviated Records, Alleviated Records",1254,872,4.79,"(4xFile, FLAC, EP)",$10.63,Alleviated Records,"
                Netherlands
            ","
                29 Feb 2016
            ",Electronic,House,Vinyl
"
                
                                            
        
            Xiu Xiu
                
                ‎–
                
                                            Plays The Music Of Twin Peaks
                                    
            ",Xiu Xiu,2016,US,Polyvinyl Record Company,1403,1038,4.4,"(LP, Red + LP, Blu + Album, Ltd)",$8.22,Electronic,2016,NA,NA,NA,Experimental
"
                
                                            
        
            Convextion
                
                ‎–
                
                                            2845
                                    
            ",Convextion,2016,Germany,a.r.t.less,925,874,4.78,"(12"", Blu + 12"", Ora + Album, Ltd)",$23.40,a.r.t.less,"
                Germany
            ","
                Aug 2016
            ",Electronic,Techno,Vinyl
"
                
                                            
        
            Unknown Artist
                
                ‎–
                
                                            HOSTOM - 002
                                    
            ",Unknown Artist,NA,NA,NA,793,866,4.44,NA,$10.64,Hostom,"
                France
            ","
                13 Jan 2016
            ",Electronic,Minimal,Vinyl
"
                
                                            
        
            Yussef Kamaal
                
                ‎–
                
                                            Black Focus
                                    
            ",Yussef Kamaal,2016,UK,Brownswood Recordings,620,968,4.85,"(CD, Album)",$22.30,Electronic,2016,NA,NA,NA,Contemporary Jazz
"
                
                                            
        
            DJ Sotofett /                     
        
            SVN (2)
                
                ‎–
                
                                            Current 82 (12 Mix) / Dark Plan 5
                                    
            ",DJ Sotofett,2016,Finland,Keys Of Life,987,995,4.86,"(12"")",$10.64,Electronic,2016,NA,NA,NA,House
"
                
                                            
        
            Anderson .Paak
                
                ‎–
                
                                            Malibu 
                                    
            ",Anderson .Paak,2016,US,OBE,1280,835,4.69,"(CD, Album, Dig)",$20.03,Empire,"
                USA, Canada & UK
            ","
                15 Apr 2016
            ",Hip Hop,Contemporary R&B,Vinyl
"
                
                                            
        
            Traumer
                
                ‎–
                
                                            gettraum001
                                    
            ",Traumer,2016,France,GETTRAUM,243,848,4.74,"(12"", EP, Ltd, Num)",$47.89,Electronic,2016,NA,NA,NA,Minimal Techno
"
                
                                            
        
            David Bowie
                
                ‎–
                
                                            ★ (Blackstar)
                                    
            ",David Bowie,2016,UK & Europe,"ISO Records, Columbia, Sony Music",1052,824,4.78,"(CD, Album)",$300.00,ISO Records,"
                Europe
            ","
                08 Jan 2016
            ",Jazz,Experimental,Vinyl
"
                
                                            
        
            Midland
                
                ‎–
                
                                            Final Credits
                                    
            ",Midland,NA,NA,NA,538,817,4.82,NA,$63.85,Regraded,"
                UK
            ","
                31 May 2016
            ",Electronic,House,Vinyl
"
                
                                            
        
            Nothing (12)
                
                ‎–
                
                                            Tired Of Tomorrow
                                    
            ",Nothing (12),2016,"USA, Canada & Europe",Relapse Records,1912,836,4.37,"(LP, Album)",$3.75,Rock,2016,NA,NA,NA,Post Rock
"
                
                                            
        
            Nu Guinea
                
                ‎–
                
                                            The Tony Allen Experiments
                                    
            ",Nu Guinea,2016,France,"Comet Records, Comet Records, Early Sounds Recordings, Early Sounds Recordings",545,897,4.88,"(LP, MiniAlbum)",$14.74,Electronic,2016,NA,NA,NA,Disco
"
                
                                            
        
            Traumer
                
                ‎–
                
                                            gettraum001
                                    
            ",Traumer,2016,France,GETTRAUM,235,789,4.75,"(2xFile, MP3, 320)",$47.89,GETTRAUM,"
                France
            ","
                07 Mar 2016
            ",Electronic,Minimal Techno,Vinyl
"
                
                                            
        
            Beyoncé
                
                ‎–
                
                                            Lemonade
                                    
            ",Beyoncé,2016,,Parkwood Entertainment,848,825,4.29,"(12xFile, AAC, 256 + File, MPEG-4 Video + Album)",$3.50,Electronic,2016,NA,NA,NA,Rhythm & Blues
"
                
                                            
        
            Angelo Badalamenti
                
                ‎–
                
                                            Twin Peaks
                                    
            ",Angelo Badalamenti,1990,US,Warner Bros. Records,3458,791,4.61,"(CD, Album)",$40.46,Death Waltz Recording Company,"
                USA & Canada
            ","
                10 Aug 2016
            ",Electronic,Soundtrack,Vinyl
"
                
                                            
        
            Prince Of Denmark
                
                ‎–
                
                                            8
                                    
            ",Prince Of Denmark,NA,NA,NA,469,793,4.82,NA,$307.58,Forum (7),"
                Germany
            ","
                09 Dec 2016
            ",Electronic,Dub Techno,Vinyl
"
                
                                            
        
            A Tribe Called Quest
                
                ‎–
                
                                            We Got It From Here…Thank You 4 Your Service
                                    
            ",A Tribe Called Quest,2016,US,Epic,1627,780,4.74,"(16xFile, AAC, Album, 256)",$24.50,Epic,"
                US
            ","
                23 Dec 2016
            ",Hip Hop,Conscious,Vinyl
"
                
                                            
        
            S.A.M. (5)
                
                ‎–
                
                                            Terminal
                                    
            ",S.A.M. (5),NA,NA,NA,594,776,4.76,NA,$15.86,International Sun-Earth Explorer,"
                Denmark
            ","
                2016
            ",Electronic,Dub Techno,Vinyl
"
                
                                            
        
            Plustwo
                
                ‎–
                
                                            Melody / Stop Fantasy
                                    
            ",Plustwo,1983,Italy,MIO Records (2),443,775,4.86,"(12"")",$30.09,Mothball Record,"
                Australia
            ","
                2016
            ",Electronic,Italo-Disco,Vinyl
"
                
                                            
        
            DJ Sotofett /                     
        
            SVN (2)
                
                ‎–
                
                                            Current 82 (12 Mix) / Dark Plan 5
                                    
            ",DJ Sotofett,2016,Finland,Keys Of Life,974,755,4.87,"(12"", W/Lbl, Sta)",$10.64,Keys Of Life,"
                Finland
            ","
                09 Jun 2016
            ",Electronic,House,Vinyl
"
                
                                            
        
            David Bowie
                
                ‎–
                
                                            ★ (Blackstar)
                                    
            ",David Bowie,2016,UK & Europe,"ISO Records, Columbia, Sony Music",6218,751,4.65,"(CD, Album)",$30.00,ISO Records,"
                UK & Europe
            ","
                08 Jan 2016
            ",Electronic,Art Rock,Vinyl
"
                
                                            
        
            Unknown Artist
                
                ‎–
                
                                             Better / Fever
                                    
            ",Unknown Artist,NA,NA,NA,623,752,4.66,NA,$10.63,Mood Hut,"
                Canada
            ","
                13 Aug 2016
            ",Electronic,House,Vinyl
"
                
                                            
        
            Red Hot Chili Peppers
                
                ‎–
                
                                            The Getaway
                                    
            ",Red Hot Chili Peppers,2016,US,Warner Bros. Records,3379,832,4.33,"(CD, Album)",$2.99,Rock,2016,NA,NA,NA,Funk
"
                
                                            
        
            DIIV
                
                ‎–
                
                                            Is The Is Are
                                    
            ",DIIV,2016,US,Captured Tracks,2326,823,4.34,"(CD, Album)",$8.33,Rock,2016,NA,NA,NA,Lo-Fi
"
                
                                            
        
            Rihanna
                
                ‎–
                
                                            Anti
                                    
            ",Rihanna,2016,US,Roc Nation,870,748,3.81,"(CD, Album)",$2.50,Hip Hop,2016,NA,NA,NA,Trap
"
                
                                            
        
            Varhat
                
                ‎–
                
                                            VRHT222
                                    
            ",Varhat,NA,NA,NA,559,730,4.58,NA,$11.70,Aku,"
                France
            ","
                15 Jun 2016
            ",Electronic,House,Vinyl
"
                
                                            
        
            2814
                
                ‎–
                
                                            新しい日の誕生
                                    
            ",2814,2015,UK,"Dream Catalogue, Dream Catalogue",310,723,4.66,"(CDr, Album, Ltd)",$139.99,Dream Catalogue,"
                UK
            ","
                Jan 2016
            ",Electronic,Ambient,Vinyl
"
                
                                            
        
            Danny Brown (2)
                
                ‎–
                
                                            Atrocity Exhibition
                                    
            ",Danny Brown (2),2016,Europe,"Warp Records, Fool's Gold Records",1755,761,4.56,"(CD, Album)",$7.53,Electronic,2016,NA,NA,NA,Gangsta
"
                
                                            
        
            Brujeria
                
                ‎–
                
                                            Viva Presidente Trump!
                                    
            ",Brujeria,2016,US,Nuclear Blast Entertainment,284,782,3.91,"(2xFile, FLAC, Single)",$29.80,Rock,2016,NA,NA,NA,Grindcore
"
                
                                            
        
            Nick Cave & The Bad Seeds
                
                ‎–
                
                                            Skeleton Tree
                                    
            ",Nick Cave & The Bad Seeds,2016,Europe,"Bad Seed Ltd., Bad Seed Ltd.",5217,751,4.47,"(LP, Album)",$4.50,Rock,2016,NA,NA,NA,Alternative Rock
"
                
                                            
        
            Tolouse Low Trax
                
                ‎–
                
                                            Rushing Into Water
                                    
            ",Tolouse Low Trax,NA,NA,NA,389,705,4.87,NA,$47.89,Themes For Great Cities,"
                Germany
            ","
                09 Jan 2016
            ",Electronic,Downtempo,Vinyl
"
                
                                            
        
            Janeret
                
                ‎–
                
                                            JNRT444
                                    
            ",Janeret,NA,NA,NA,452,700,4.73,NA,$21.29,Aku,"
                France
            ","
                2016
            ",Electronic,House,Vinyl
"
                
                                            
        
            Nu Guinea
                
                ‎–
                
                                            The Tony Allen Experiments
                                    
            ",Nu Guinea,2016,France,"Comet Records, Early Sounds Recordings",538,701,4.9,"(LP, MiniAlbum, Promo, W/Lbl)",$14.74,Comet Records,Vinyl,"
                France
            ","
                15 Feb 2016
            ",Electronic,Afrobeat Makers
"
                
                                            
        
            Yasuaki Shimizu
                
                ‎–
                
                                            Kakashi
                                    
            ",Yasuaki Shimizu,1982,Japan,Better Days (2),90,696,4.89,(LP),$78.59,Better Days (2),"
                Japan
            ","
                19 May 2016
            ",Electronic,Fusion,Vinyl
"
                
                                            
        
            Joey Negro
                
                ‎–
                
                                            Remixed With Love By Joey Negro (Vol. Two)
                                    
            ",Joey Negro,2016,UK,Z Records,532,718,4.78,"(2xCD, Comp)",$10.63,Jazz,2016,NA,NA,NA,Soul
"
                
                                            
        
            V.O. (6)
                
                ‎–
                
                                            Mashisa
                                    
            ",V.O. (6),2016,Canada,Invisible City Editions,445,722,4.84,"(12"", EP)",$20.90,Electronic,2016,NA,NA,NA,Disco
"
                
                                            
        
            Les Yeux Orange
                
                ‎–
                
                                            Coco / Jungle
                                    
            ",Les Yeux Orange,NA,NA,NA,224,681,4.91,NA,$63.86,Good Plus,"
                France
            ","
                30 Jun 2016
            ",Electronic,Disco,Vinyl
"
                
                                            
        
            Iggy Pop
                
                ‎–
                
                                            Post Pop Depression
                                    
            ",Iggy Pop,2016,US,"Loma Vista, Rekords Rekords",4190,679,4.32,"(LP, Album)",$4.00,Rock,2016,NA,NA,NA,NA
"
                
                                            
        
            Aphex Twin
                
                ‎–
                
                                            Cheetah EP
                                    
            ",Aphex Twin,2016,UK,Warp Records,3059,724,4.31,"(12"", EP)",$5.00,Electronic,2016,NA,NA,NA,Techno
"
                
                                            
        
            Death Grips
                
                ‎–
                
                                            Bottomless Pit
                                    
            ",Death Grips,2016,US,"Harvest, Third Worlds",1885,855,4.3,"(13xFile, MP3, Album, VBR)",$8.00,Electronic,2016,NA,NA,NA,Hardcore Hip-Hop
"
                
                                            
        
            Radiohead
                
                ‎–
                
                                            Burn The Witch / Spectre
                                    
            ",Radiohead,2016,US,XL Recordings,1009,664,4.79,"(CDr, Single, Promo)",$36.84,XL Recordings,"
                UK & US
            ","
                16 May 2016
            ",Electronic,Art Rock,Vinyl
"
                
                                            
        
            Blink-182
                
                ‎–
                
                                            California
                                    
            ",Blink-182,2016,US,BMG,2836,678,4.06,"(CD, Album)",$4.50,Rock,2016,NA,NA,NA,Pop Punk
"
                
                                            
        
            Explosions In The Sky
                
                ‎–
                
                                            The Wilderness
                                    
            ",Explosions In The Sky,2016,US,Temporary Residence Limited,2620,701,4.25,"(LP,  Re + LP, Etch, Mar + Album, Dlx, Ltd)",$6.00,Rock,2016,NA,NA,NA,Post Rock
"
                
                                            
        
            Radiohead
                
                ‎–
                
                                            Burn The Witch
                                    
            ",Radiohead,2016,US,XL Recordings,1075,713,4.7,"(CDr, Single, Promo)",$36.84,Rock,2016,NA,NA,NA,Alternative Rock
"
                
                                            
        
            Traumprinz
                
                ‎–
                
                                            Traumprinz 06
                                    
            ",Traumprinz,NA,NA,NA,689,641,3.97,NA,$24.06,Traumprinz,"
                Germany
            ","
                21 Oct 2016
            ",Electronic,House,Vinyl
"
                
                                            
        
            Huerco S.
                
                ‎–
                
                                            For Those Of You Who Have Never (And Also Those Who Have)
                                    
            ",Huerco S.,2016,US,Proibito,583,637,4.75,"(9xFile, FLAC, Album)",$26.55,Proibito,"
                US
            ","
                20 Jun 2016
            ",Electronic,Ambient,Vinyl
"
                
                                            
        
            Unknown Artist
                
                ‎–
                
                                            HOSTOM - ZZZ
                                    
            ",Unknown Artist,NA,NA,NA,664,633,4.7,NA,$19.16,Hostom,"
                France
            ","
                20 May 2016
            ",Electronic,Minimal,Vinyl
"
                
                                            
        
            Roy Of The Ravers
                
                ‎–
                
                                            2 Late 4 Love
                                    
            ",Roy Of The Ravers,NA,NA,NA,274,642,4.92,NA,$48.96,Acid Waxa,"
                UK
            ","
                22 Aug 2016
            ",Electronic,Techno,Vinyl
"
                
                                            
        
            Omar S*
                
                ‎–
                
                                            The Best!
                                    
            ",Omar S,2016,US,FXHE Records,387,640,4.56,"(CD, Album)",$45.44,FXHE Records,"
                US
            ","
                May 2016
            ",Electronic,House,Vinyl
"
                
                                            
        
            Charles Bradley
                
                ‎–
                
                                            Changes
                                    
            ",Charles Bradley,2016,US,"Dunham, Daptone Records",2334,661,4.53,"(CD, Album)",$7.37,Funk / Soul,2016,NA,NA,NA,Soul
"
                
                                            
        
            Forum (15)
                
                ‎–
                
                                            Forum EP
                                    
            ",Forum (15),NA,NA,NA,305,635,4.77,NA,$20.22,Aiwo rec.,"
                Germany
            ","
                25 Jan 2016
            ",Electronic,House,Vinyl
"
                
                                            
        
            De La Soul
                
                ‎–
                
                                            And The Anonymous Nobody
                                    
            ",De La Soul,2016,US,"AOI Records, AOI Records",1605,763,4.2,"(2xLP, Album, Ltd, Smo)",$8.00,Hip Hop,2016,NA,NA,NA,NA
"
                
                                            
        
            Flume
                
                ‎–
                
                                            Skin
                                    
            ",Flume,2016,Australia,Future Classic,1188,635,4.39,"(CD, Album, Dig)",$2.99,Electronic,2016,NA,NA,NA,Downtempo
"
                
                                            
        
            J Dilla
                
                ‎–
                
                                            The Diary
                                    
            ",J Dilla,2016,US,"Pay Jay Productions, Mass Appeal",1406,643,4.45,"(CD, Album)",$7.37,Hip Hop,2016,NA,NA,NA,NA
"
                
                                            
        
            Unknown Artist
                
                ‎–
                
                                            Persie Edits Volume 2
                                    
            ",Unknown Artist,NA,NA,NA,86,621,4.67,NA,$63.86,Persies,"
                UK
            ","
                2016
            ",Electronic,House,Vinyl
"
                
                                            
        
            Weezer
                
                ‎–
                
                                            Weezer
                                    
            ",Weezer,2016,US,Crush Music (2),2154,627,4.33,"(CD, Album)",$6.39,Rock,2016,NA,NA,NA,Pop Rock
"
                
                                            
        
            Deftones
                
                ‎–
                
                                            Gore
                                    
            ",Deftones,2016,Europe,Reprise Records,3140,694,4.24,"(CD, Album)",$2.50,Rock,2016,NA,NA,NA,Nu Metal
"
                
                                            
        
            Perturbator
                
                ‎–
                
                                            The Uncanny Valley 
                                    
            ",Perturbator,2016,Finland,Blood Music (2),1029,605,4.52,"(13xFile, FLAC, Album)",$11.76,Electronic,2016,Clear,NA,NA,Synthwave
"
                
                                            
        
            Moodymann
                
                ‎–
                
                                            DJ Kicks
                                    
            ",Moodymann,2016,Germany,!K7 Records,1448,672,4.61,"(CD, Mixed)",$6.13,Electronic,2016,NA,NA,NA,Soul
"
                
                                            
        
            S U R V I V E
                
                ‎–
                
                                            RR7349
                                    
            ",S U R V I V E,2016,US,Relapse Records,1754,665,4.38,"(CD, Album)",$5.00,Electronic,2016,NA,NA,NA,Minimal
"
                
                                            
        
            Benedek &                     
        
            Noble*
                
                ‎–
                
                                            Ocean Side / Airwayz (Garage Mix)
                                    
            ",Benedek,NA,NA,NA,205,598,4.92,NA,$40.44,Superior Elevation Records,"
                US
            ","
                2016
            ",Electronic,House,Vinyl
"
                
                                            
        
            Angel Olsen
                
                ‎–
                
                                            My Woman
                                    
            ",Angel Olsen,2016,US,Jagjaguwar,2367,739,4.38,"(CD, Album)",$7.00,Pop,2016,NA,NA,NA,Folk
"
                
                                            
        
            Folamour
                
                ‎–
                
                                            Oyabun EP
                                    
            ",Folamour,NA,NA,NA,128,593,4.73,NA,$58.48,Moonrise Hill Material,"
                France
            ","
                15 Apr 2016
            ",Electronic,House,Vinyl
"
                
                                            
        
            Various
                
                ‎–
                
                                            Chromophore
                                    
            ",Various,NA,NA,NA,410,582,4.68,NA,$22.88,SLOW LIFE,"
                Germany
            ","
                18 May 2016
            ",Electronic,Deep House,Vinyl
"
                
                                            
        
            Varhat
                
                ‎–
                
                                            Quattro
                                    
            ",Varhat,NA,NA,NA,409,582,4.59,NA,$19.15,Howl (4),"
                Italy
            ","
                31 Mar 2016
            ",Electronic,House,Vinyl
"
                
                                            
        
            City People /                     
        
            20 Below
                
                ‎–
                
                                            It's All In The Groove / A Lil' Tribute To The Moody Black Keys / Jus' Nite Groovin'
                                    
            ",City People,1996,UK,Rainy City Music,1098,582,4.79,"(12"")",$10.64,MCDE,"
                Netherlands
            ","
                Mar 2016
            ",Electronic,House,Vinyl
"
                
                                            
        
            Frank Ocean
                
                ‎–
                
                                            blond
                                    
            ",Frank Ocean,2016,,Boys Don't Cry,686,589,4.81,"(17xFile, AAC, Album, 256)",$153.50,XL Recordings,"
                US
            ","
                25 Nov 2016
            ",Hip Hop,Contemporary R&B,Vinyl
"
                
                                            
        
            The System (8)
                
                ‎–
                
                                            The System EP
                                    
            ",The System (8),NA,NA,NA,634,575,4.83,NA,$15.72,Music From Memory,"
                Netherlands
            ","
                2016
            ",Electronic,Synth-pop,Vinyl
"
                
                                            
        
            S.O.N.S
                
                ‎–
                
                                            Shinjuku One Night Stand
                                    
            ",S.O.N.S,NA,NA,NA,272,575,4.69,NA,$41.51,S.O.N.S,"
                South Korea
            ","
                07 Oct 2016
            ",Electronic,Techno,Vinyl
"
                
                                            
        
            Modern Baseball
                
                ‎–
                
                                            Holy Ghost
                                    
            ",Modern Baseball,2016,US,Run For Cover Records (2),1153,572,4.41,"(CD, Album)",$5.32,Rock,2016,NA,NA,NA,Pop Punk
"
                
                                            
        
            Aged In Harmony
                
                ‎–
                
                                            You're A Melody
                                    
            ",Aged In Harmony,2016,UK,Melodies International Ltd.,774,569,4.96,"(6xFile, FLAC, Comp, 24 )",$22.09,Melodies International Ltd.,"
                UK
            ","
                19 Aug 2016
            ",Funk / Soul,Soul,Vinyl
"
                
                                            
        
            Panic! At The Disco
                
                ‎–
                
                                            Death Of A Bachelor
                                    
            ",Panic! At The Disco,2016,US,"Fueled By Ramen, DCD2",1346,647,4.48,"(CD, Album)",$2.99,Pop,2016,NA,NA,NA,NA
"
                
                                            
        
            Pinegrove
                
                ‎–
                
                                            Cardinal
                                    
            ",Pinegrove,2016,US,Run For Cover Records (2),788,603,4.56,"(LP, Album, Gre)",$7.98,Rock,2016,NA,NA,NA,Folk Rock
"
                
                                            
        
            Leonard Cohen
                
                ‎–
                
                                            You Want It Darker
                                    
            ",Leonard Cohen,2016,Europe,"Columbia, Sony Music",3122,618,4.62,"(CD, Album)",$4.00,Rock,2016,NA,NA,NA,Folk Rock
"
                
                                            
        
            Avalon Emerson
                
                ‎–
                
                                            Whities 006
                                    
            ",Avalon Emerson,NA,NA,NA,250,562,4.8,NA,NA,Whities,"
                UK
            ","
                07 Mar 2016
            ",Electronic,Techno,Vinyl
"
                
                                            
        
            Roberto De Simone Con la Partecipazione Della                     
        
            Nuova Compagnia Di Canto Popolare
                
                ‎–
                
                                            II° Coro Delle Lavandaie
                                    
            ",Roberto De Simone,2016,Italy,Archeo Recordings,233,628,4.83,"(12"", Num, RE, Ora)",$33.00,"Folk, World, & Country",2016,NA,NA,NA,Folk
"
                
                                            
        
            Swans
                
                ‎–
                
                                            The Glowing Man
                                    
            ",Swans,2016,US,Young God Records,2414,596,4.47,"(2xCD, Album)",$9.81,Rock,2016,NA,NA,NA,Noise
"
                
                                            
        
            Leo Pol
                
                ‎–
                
                                            IILE01
                                    
            ",Leo Pol,NA,NA,NA,535,557,4.77,NA,$18.62,IILE,"
                France
            ","
                15 Jun 2016
            ",Electronic,House,Vinyl
"
                
                                            
        
            Megadeth
                
                ‎–
                
                                            Dystopia
                                    
            ",Megadeth,2016,US,"Tradecraft, T-Boy Records, UMe",2771,554,4.22,"(CD, Album)",$3.94,Rock,2016,NA,NA,NA,Heavy Metal
"
                
                                            
        
            Moderat
                
                ‎–
                
                                            III
                                    
            ",Moderat,2016,Germany,Monkeytown Records,2040,658,4.3,"(CD, Album)",$5.00,Electronic,2016,NA,NA,NA,Electro
"
                
                                            
        
            Kaytranada
                
                ‎–
                
                                            99.9%
                                    
            ",Kaytranada,2016,UK,XL Recordings,1418,875,4.69,"(CD, Album)",$4.99,Electronic,2016,NA,NA,NA,House
